ID;Title;Provincias;Municipios
5933;Asociación para el Desarrollo Integral Mancha Júcar-Centro;ALBACETE;Barrax|Fuensanta|La Gineta|La Roda|Minaya|Montalvos|Tarazona de la Mancha|Villalgordo del Júcar|Villarrobledo
5935;Asociación para la Promoción del Desarrollo de la Comarca Campos de Hellín;ALBACETE;Albatana|Fuente-Álamo|Hellín|Ontur|Tobarra
5937;Asociación para el Desarrollo de La Manchuela;ALBACETE;Abengibre|Alatoz|Alborea|Alcalá del Júcar|Balsa de Ves|Carcelén|Casas de Juan Núñez|Casas de Ves|Casas Ibáñez|Cenizate|El Herrumblar|Fuentealbilla|Golosalvo|Jorquera|La Recueja|Madrigueras|Mahora|Motilleja|Navas de Jorquera|Pozo Lorente|Valdeganga|Villa de Ves|Villamalea|Villatoya|Villavaliente
5939;Grupo de Acción Local Sierra del Segura;ALBACETE;Ayna|Bogarra|Elche de la Sierra|Férez|Letur|Liétor|Molinicos|Nerpio|Paterna del Madera|Riópar|Socovos|Yeste
5941;Asociación para el Desarrollo de la Comarca ‘Monte Ibérico- Corredor de Almansa’;ALBACETE;Almansa|Alpera|Bonete|Caudete|Chinchilla de Montearagón|Corral-Rubio|Higueruela|Hoya Gonzalo|Montealegre del Castillo|Pétrola|Pozo Cañada
5943;Asociación Grupo de Desarrollo Rural de la Sierra de Alcaraz y Campo de Montiel (SACAM);ALBACETE;Alcadozo|Alcaraz|Balazote|Bienservida|Casas de Lázaro|Cotillas|El Ballestero|El Bonillo|La Herrera|Lezuza|Masegoso|Munera|Ossa de Montiel|Peñas de San Pedro|Peñascosa|Povedilla|Pozuelo|Robledo|Salobre|San Pedro|Vianos|Villapalacios|Villaverde de Guadalimar|Viveros
5945;Asociación de Desarrollo Cabañeros-Montes Norte 'Entreparques';CIUDAD REAL;Alcoba|Alcolea de Calatrava|Anchuras|El Robledo|El Torno|Fernán Caballero|Fontanarejo|Fuente el Fresno|Horcajo de los Montes|Los Cortijos|Luciana|Malagón|Navas de Estena|Picón|Piedrabuena|Poblete|Porzuna|Puebla de Don Rodrigo|Retuerta del Bullaque
5947;Asociación de Desarrollo del Campo de Montiel y Campo de Calatrava ‘Tierras de Libertad’;CIUDAD REAL;Albaladejo|Alcubillas|Almedina|Almuradiel|Castellar de Santiago|Cózar|Fuenllana|Montiel|Puebla del Príncipe|Santa Cruz de los Cáñamos|Santa Cruz de Mudela|Terrinches|Torre de Juan Abad|Torrenueva|Valdepeñas|Villahermosa|Villamanrique|Villanueva de la Fuente|Villanueva de los Infantes|Viso del Marqués
5949;Asociación para el Desarrollo de la Comarca de Almadén 'MonteSur';CIUDAD REAL;Agudo|Alamillo|Almadén|Almadenejos|Chillón|Guadalmez|Saceruela|Valdemanco del Esteras
5951;Asociación para el Desarrollo del Alto Guadiana Mancha (AGM);CIUDAD REAL;Alhambra|Arenas de San Juan|Argamasilla de Alba|Carrizosa|Daimiel|La Solana|Las Labores|Llanos|Manzanares|Membrilla|Puerto Lápice|Ruidera|San Carlos del Valle|Villarrubia de los Ojos|Villarta de San Juan
5953;Asociación para el Desarrollo del Campo de Calatrava;CIUDAD REAL;Aldea del Rey|Almagro|Ballesteros de Calatrava|Bolaños de Calatrava|Calzada de Calatrava|Cañada de Calatrava|Caracuel de Calatrava|Carrión de Calatrava|Corral de Calatrava|Granátula de Calatrava|Los Pozuelos de Calatrava|Miguelturra|Moral de Calatrava|Pozuelo de Calatrava|Torralba de Calatrava|Valenzuela de Calatrava|Villanueva de San Carlos|Villar del Pozo
5955;Asociación para el Desarrollo Sostenible del Valle de Alcudia;CIUDAD REAL;Abenojar|Almodóvar del Campo|Argamasilla de Calatrava|Brazatortas|Cabezarados|Cabezarrubias del Puerto|Fuencaliente|Hinojosas de Calatrava|Mestanza|San Lorenzo de Calatrava|Solana del Pino|Villamayor de Calatrava
5957;Asociación para el Desarrollo de la Mancha Norte de Ciudad Real 'Mancha Norte: Desarrollo e Innovación';CIUDAD REAL;Alcázar de San Juan|Arenales de San Gregorio|Campo de Criptana|Herencia|Pedro Muñoz|Socuéllamos|Tomelloso
5959;Asociación de Desarrollo Integral de la Manchuela Conquense (ADIMAN);CUENCA;Alarcón|Almodóvar del Pinar|Buenache de Alarcón|Campillo de Altobuey|Casas de Benítez|Casas de Guijarro|Casasimarro|Castillejo de Iniesta|El Peral|El Picazo|Enguídanos|Gabaldón|Graja de Iniesta|Hontecillas|Iniesta|La Pesquera|Ledaña|Minglanilla|Motilla del Palancar|Olmedilla de Alarcón|Paracuellos de la Vega|Pozoamargo|Pozorrubielos de la Mancha|Puebla del Salvador|Quintanar del Rey|Sisante|Tebar|Valhermoso de la Fuente|Valverdejo|Villagarcía del Llano|Villalpardo|Villanueva de la Jara|Villarta
5961;Asociación para el Desarrollo Integral ‘El Záncara’ (ADI El ZÁNCARA);CUENCA;Alconchel de la Estrella|Atalaya del Cañavate|Belmonte|Cañada Juncosa|Carrascosa de Haro|Casas de Fernando Alonso|Casas de Haro|Casas de los Pinos|Castillo de Garcimuñoz|El Cañavate|El Pedernoso|El Provencio|Honrubia|Hontanaya|La Alberca de Záncara|Las Mesas|Las Pedroñeras|Los Hinojosos|Monreal del Llano|Mota del Cuervo|Osa de la Vega|Pinarejo|Rada de Haro|San Clemente|Santa María de los Llanos|Santa María del Campo Rus|Torrubia del Castillo|Tresjuncos|Vara de Rey|Villaescusa de Haro|Villalgordo del Marquesado|Villamayor de Santiago|Villar de la Encina
5963;Asociación Promoción y Desarrollo Serrano (PRODESE);CUENCA;Alcalá de la Vega|Algarra|Aliaguilla|Arcos de la Sierra|Arguisuelas|Beamud|Beteta|Boniches|Buenache de la Sierra|Campillos Paravientos|Campillos Sierra|Cañada del Hoyo|Cañamares|Cañete|Cañizares|Carboneras de Guadazaón|Cardenete|Carrascosa|Casas de Garcimolina|Castillejo-Sierra|Cólliga|Colliguilla|Cueva del Hierro|El Pozuelo|Fresneda de la Sierra|Fuentelespino de Moya|Fuentes|Fuertescusa|Garaballa|Graja de Campalbo|Henarejos|Huélamo|Huerta del Marquesado|La Cierva|La Frontera|La Huérguina|La Melgosa|Laguna del Marquesado|Lagunaseca|Landete|Las Majadas|Mariana|Masegosa|Mira|Mohorte|Monteagudo de las Salinas|Narboneta|Nohales|Pajarón|Pajaroncillo|Palomera|Portilla|Poyatos|Reíllo|Ribatajada|Salinas del Manzano|Salvacañete|San Martín de Boniches|Santa Cruz de Moya|Santo Domingo de Moya|Sotos|Talayuelas|Tejadillos|Tondos|Tragacete|Uña|Valdecabras|Valdemeca|Valdemorillo de la Sierra|Valdemoro de la Sierra|Valsalobre|Vega del Codorno|Villalba de la Sierra|Villanueva de los Escuderos|Villar del Humo|Víllora|Yémeda|Zafrilla|Zarzuela
