FECHA;TITULO
2025-03-03T08:54:09+00:00;‘Entreparques’ aprueba las bases de una convocatoria de ayudas para creación y mejora de empresas del territorio
2025-06-18T08:41:31+00:00;‘Entreparques’ celebra en Puebla de Don Rodrigo sus Primeras Olimpiadas Escolares con 250 alumnos y alumnas del territorio
2025-03-07T08:58:20+00:00;‘Entreparques’ celebrará el Día de la Mujer en Poblete con un espectáculo de narración oral y su exposición de grandes mujeres de pueblos pequeños
2025-05-30T12:43:04+00:00;‘Entreparques’ continúa con su plan para facilitar la transición del alumnado de Primaria a Secundaria con una convivencia en Piedrabuena
2025-04-22T09:51:24+00:00;‘Entreparques’ firma tres contratos con emprendedores y cierra una convocatoria de ayudas por valor de 432.500 euros
2024-10-25T10:36:27+00:00;‘Entreparques’ impulsa 9 proyectos que apuestan por el empleo femenino y supondrán más de 800.000 euros de inversión
2025-04-07T11:07:42+00:00;‘Entreparques’ organiza una convivencia en Horcajo para facilitar la transición del alumnado de Primaria a Secundaria
2024-11-18T11:54:13+00:00;‘Entreparques’ pone en valor el atractivo turístico de Los Navalucillos donde ha impulsado la apertura de un hotel rural
2024-12-04T11:36:27+00:00;‘Entreparques’ presenta su estrategia turística en torno a los volcanes a una investigadora que trabaja en un proyecto para crear un geoparque en Italia
2024-10-18T06:43:04+00:00;‘Entreparques’ reafirma su propósito de seguir trabajando  para mejorar la calidad de vida de las personas mayores de su territorio
2025-09-22T13:30:11+00:00;‘Entreparques’ reparte en Poblete las primeras botellas de cristal para agua reutilizables para fomentar la sostenibilidad en la hostelería rural
2024-05-28T07:38:26+00:00;‘Entreparques’ reúne a las asociaciones de mayores del territorio para recabar información sobre sus necesidades
2025-03-31T14:01:15+00:00;‘Entreparques’ se integra en un proyecto de cooperación trasnacional que busca reconectar zonas rurales con ciudades
2025-05-14T10:31:40+00:00;‘Entreparques’ visita en Fernán Caballero una casa centenaria que aspira a convertirse en museo etnográfico
2025-08-06T15:29:35+00:00;‘Jóvenes con Raíz’ aterrizará en Férez el 22 de agosto con multitud de actividades lúdicas, deportivas y formativas
2025-08-29T13:26:10+00:00;‘Jóvenes con Raíz’ cautiva Olmedilla de Alarcón con diversión, formación y deporte
2025-09-16T10:05:14+00:00;‘Jóvenes con Raíz’ convirtió a Villacañas en epicentro provincial de diversión y ocio saludable
2025-08-27T09:28:06+00:00;‘Jóvenes con Raíz’ de la comarca de FADETA disfrutaron de una jornada de diversión y formación en Cifuentes
2025-08-25T16:55:29+00:00;‘Jóvenes con Raíz’ llena de diversión, aprendizaje y ocio saludable la comarca de Tierras de Dulcinea
2025-08-04T12:52:13+00:00;‘Jóvenes con Raíz’ llenará el medio rural de propuestas lúdicas, deportivas y formativas para crear arraigo
2025-09-22T10:31:23+00:00;‘Jóvenes con Raíz’ llevó a Almagro multitud de talleres, música, teatro y deporte para fomentar el arraigo
2025-08-08T14:15:40+00:00;‘Jóvenes con Raíz’ recalará en Abenójar el 4 de septiembre con multitud de actividades lúdicas
2025-09-11T07:19:09+00:00;‘Jóvenes con Raíz’ une a la juventud rural de Albacete en el evento provincial celebrado en Pozo Cañada
2024-04-23T11:28:57+00:00;‘La Alcarria en tu maleta’ de FADETA conquista los paladares más exigentes en Salón Gourmet
2021-06-02T14:21:38+00:00;‘Tierras de Talavera’ firma 11 contratos de ayudas Leader con empresas y autónomos por valor de 335.000 euros
2020-07-21T07:33:33+00:00;‘Vi-viendo Calatrava’ emociona y hace reír a los vecinos de Bolaños en una noche mágica de reencuentro con el ocio y la cultura
2025-05-12T13:44:25+00:00;‘Viaje y nuevo viaje a la Alcarria en familia’ cautiva al público en la Feria del Libro de Guadalajara
2025-02-18T15:32:04+00:00;‘Visita Serranía de Cuenca’, nuevo portal turístico de PRODESE para promocionar el atractivo de su territorio
2025-01-27T07:52:43+00:00;“Almadén y su comarca son mucho más que minería”
2019-11-05T09:45:12+00:00;“Calatrava Sabor” se presentará en una jornada sobre experiencias de éxito en enoturismo y oleoturismo
2020-09-04T09:19:39+00:00;“El arte callejero de las grandes ciudades se hace rural”
2021-04-13T09:45:52+00:00;“El Desarrollo Rural ha de jugar un papel fundamental en la reactivación económica y social del territorio”
2024-09-26T07:11:06+00:00;“El fantasma Calat en Calatrava La Nueva” y “Calatrava. Pedro Girón”, nuevos volúmenes de la historia de la Orden de Calatrava en libro infantil y cómic
2020-10-07T09:21:39+00:00;“EL VALLE DEL CABRIEL ES UNA ZONA DE GRAN RIQUEZA QUE ESTÁ POR EXPLOTAR”
2019-10-14T12:40:40+00:00;“En un lugar de Calatrava”, plato fuerte del Festival Iberoamericano de Teatro Contemporáneo, se estrena con éxito de público y de crítica
2023-03-08T08:45:52+00:00;“La determinación de las mujeres es clave para garantizar el futuro del medio rural”
2020-09-09T08:18:10+00:00;“Salvar las comarcas para hacer que las poblaciones sean viables. Si salvamos las comarcas, salvamos nuestros pueblos”
2023-03-01T15:22:49+00:00;“Sin relevo generacional no hay futuro, apostemos por emprender en nuestros pueblos”
2020-07-15T12:34:43+00:00;“Verano Calatrava 2020” ofrecerá cine, música en vivo y teatro para reactivar la hostelería y el mundo de la cultura en la comarca
2022-01-20T12:49:05+00:00;1.873 proyectos y 4.316 empleos creados o consolidados, balance provisional del programa Leader en esta programación
2025-01-15T14:51:27+00:00;150 proyectos y casi 9 millones de euros de inversión movilizada en la comarca, balance de ADECOR en el cierre de Leader 2014/2022
2018-12-17T13:02:56+00:00;22 proyectos de la comarca optan a las convocatorias de ayudas ITI tras la labor de asesoramiento realizada por CEDER Alcarria Conquense
2025-11-18T09:33:19+00:00;220 jugadores y 170 partidos, balance del Torneo de Pádel de FADETA
2020-06-03T12:03:56+00:00;239.486,10 € de ayuda Leader aprobada para proyectos en la Comarca “Monte Ibérico-Corredor de Almansa”
2024-12-23T07:31:32+00:00;25 municipios de los Montes de Toledo celebran su historia y tradiciones a través del arte mural
2020-06-19T07:07:50+00:00;2ª convocatoria de ayudas Contempladas en la medida 19 del PDR Regional  2014-2020  G.A.L. Monte Ibérico-Corredor de Almansa
2022-10-11T14:31:04+00:00;37 nuevos proyectos recibirá más de 700.000 euros de ayuda en la comarca Monte Ibérico-Corredor de Almansa
2022-04-25T13:54:02+00:00;Abierta la inscripción para el taller sobre accesibilidad cognitiva y lectura fácil
2021-05-10T08:07:44+00:00;Abierto el plazo de las nuevas convocatorias de subvenciones de Alto Guadiana Mancha, que rondan el millón de euros
2022-11-21T14:21:58+00:00;Abierto el plazo para solicitar ayudas Leader de FADETA con una cuantía total de 560.000 euros
2020-11-17T12:47:58+00:00;Accesibilidad cognitiva, sensibilización desde la acción
2020-02-12T09:00:59+00:00;Actividades para jóvenes y el Proyecto Reserva de la Biosfera de La Mancha Húmeda son los protagonistas del último boletín de la Asociación Don Quijote
2025-02-20T08:40:11+00:00;AD Campo de Calatrava y el Festival Internacional de Teatro Clásico de Almagro consolidan su alianza estratégica
2021-07-09T12:00:59+00:00;ADAC apoya con cerca de 200.000 euros en ayudas LEADER a 7 proyectos
